,CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,Name,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
1321,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_40647,2022-08-12,SCC_40647 - 2022-08-12,FIELD WORK,NET 30,Nofield,0.0,0.0,1880.0,1786.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,2022-08-17 16:13:17.863,U,QuoteNo,SCC_31028,1322,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1322,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_40646,2022-08-12,SCC_40646 - 2022-08-12,LIQUID,NET 30,Nofield,0.0,0.0,6408.05,6408.05,Balance Due,SCC_4891,SCC_4891,Castle Steel,2022-08-17 16:14:03.590,P,QuoteNo,SCC_31029,1323,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1323,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_40645,2022-08-12,SCC_40645 - 2022-08-12,LIQUID,NET 30,Nofield,0.0,0.0,375.0,375.0,Balance Due,SCC_4891,SCC_4891,Castle Steel,2022-08-17 16:14:46.227,P,QuoteNo,SCC_31030,1324,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1324,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_40644,2022-08-12,SCC_40644 - 2022-08-12,LIQUID,NET 30,Nofield,0.0,0.0,655.0,655.0,Balance Due,SCC_4891,SCC_4891,Castle Steel,2022-08-17 16:15:14.447,P,QuoteNo,SCC_31031,1325,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1325,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_40643,2022-08-12,SCC_40643 - 2022-08-12,LIQUID,NET 30,Nofield,0.0,0.0,1412.0,1412.0,Balance Due,SCC_4891,SCC_4891,Castle Steel,2022-08-17 16:15:40.107,P,QuoteNo,SCC_31032,1326,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1326,Allied Machine Works,Allied Machine Works,1468 S. 1st Avenue,,Thatcher,AZ,85552,SCC_40642,2022-08-12,SCC_40642 - 2022-08-12,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2060.0,2060.0,Balance Due,SCC_5026,SCC_5026,Allied Machine Works,2022-08-17 16:16:09.660,P,QuoteNo,SCC_31033,1327,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1327,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40641,2022-08-12,SCC_40641 - 2022-08-12,FIELD WORK,NET 45,Nofield,0.0,0.0,2200.0,2200.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2022-08-17 16:16:53.700,P,QuoteNo,SCC_31034,1328,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1328,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40640,2022-08-12,SCC_40640 - 2022-08-12,LIQUID,NET 30,Nofield,0.0,0.0,1535.9,1535.9,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-08-17 16:16:58.907,P,QuoteNo,SCC_31035,1329,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1329,Silent-Aire USA Inc.,Silent-Aire,280 E. Germann Rd.,,Gilbert,AZ,85297,SCC_40639,2022-08-12,SCC_40639 - 2022-08-12,BLAST,NET 30,Nofield,0.0,0.0,1200.0,1200.0,Balance Due,SCC_5025,SCC_5025,Silent-Aire USA Inc.,2022-08-17 16:17:21.453,P,QuoteNo,SCC_31036,1330,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1330,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40667,2022-08-19,SCC_40667 - 2022-08-19,LIQUID,NET 30,Nofield,0.0,0.0,1716.36,1630.54,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-24 11:15:30.717,U,QuoteNo,SCC_31037,1331,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1331,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40666,2022-08-19,SCC_40666 - 2022-08-19,LIQUID,NET 30,Nofield,0.0,0.0,1065.0,1011.75,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-24 11:15:49.290,U,QuoteNo,SCC_31038,1332,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1332,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40665,2022-08-19,SCC_40665 - 2022-08-19,LIQUID,NET 30,Nofield,0.0,0.0,669.4,635.93,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-24 11:16:56.733,U,QuoteNo,SCC_31039,1333,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1333,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40664,2022-08-19,SCC_40664 - 2022-08-19,LIQUID,NET 30,Nofield,0.0,0.0,2113.8,2008.11,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-24 11:17:50.207,U,QuoteNo,SCC_31040,1334,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1334,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40663,2022-08-19,SCC_40663 - 2022-08-19,LIQUID,NET 30,Nofield,0.0,0.0,2168.6,2060.17,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-24 11:18:51.673,U,QuoteNo,SCC_31041,1335,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1335,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40662,2022-08-19,SCC_40662 - 2022-08-19,LIQUID,NET 30,Nofield,0.0,0.0,1315.04,1249.29,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-24 11:19:08.017,U,QuoteNo,SCC_31042,1336,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1336,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40661,2022-08-19,SCC_40661 - 2022-08-19,LIQUID,NET 30,Nofield,0.0,0.0,2468.04,2344.64,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-24 11:19:22.737,U,QuoteNo,SCC_31043,1337,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1337,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40660,2022-08-19,SCC_40660 - 2022-08-19,LIQUID,NET 30,Nofield,0.0,0.0,375.0,356.25,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-24 11:19:41.280,U,QuoteNo,SCC_31044,1338,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1338,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40659,2022-08-19,SCC_40659 - 2022-08-19,FIELD WORK,NET 45,Nofield,0.0,0.0,2324.55,2324.55,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2022-08-24 11:20:13.460,P,QuoteNo,SCC_31045,1339,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1339,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40658,2022-08-19,SCC_40658 - 2022-08-19,LIQUID,NET 30,Nofield,0.0,0.0,2289.04,2289.04,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-08-24 11:20:18.507,P,QuoteNo,SCC_31046,1340,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1340,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40657,2022-08-19,SCC_40657 - 2022-08-19,LIQUID,NET 30,Nofield,0.0,0.0,10000.0,10000.0,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-08-24 11:20:30.337,P,QuoteNo,SCC_31047,1341,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1341,Silent-Aire USA Inc.,Silent-Aire,280 E. Germann Rd.,,Gilbert,AZ,85297,SCC_40656,2022-08-19,SCC_40656 - 2022-08-19,LIQUID,NET 30,Nofield,0.0,0.0,9250.0,9250.0,Balance Due,SCC_5025,SCC_5025,Silent-Aire USA Inc.,2022-08-24 11:20:41.577,P,QuoteNo,SCC_31048,1342,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1342,Keller Electrical Ind,Keller Electrical Ind,1881 East University Drive,,Phoenix,AZ,85034,SCC_40655,2022-08-18,SCC_40655 - 2022-08-18,LIQUID,NET 30,Nofield,0.0,0.0,590.0,590.0,Balance Due,SCC_4973,SCC_4973,Keller Electrical Ind,2022-08-24 11:20:55.700,P,QuoteNo,SCC_31049,1343,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1343,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40682,2022-08-26,SCC_40682 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,15000.0,15000.0,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-08-30 17:43:13.390,P,QuoteNo,SCC_31050,1344,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1344,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40681,2022-08-26,SCC_40681 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,706.2,670.89,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-30 17:47:10.133,U,QuoteNo,SCC_31051,1345,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1345,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40680,2022-08-26,SCC_40680 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,1696.12,1611.31,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-30 17:48:23.437,U,QuoteNo,SCC_31052,1346,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1346,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40679,2022-08-26,SCC_40679 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,2104.16,1998.95,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-30 17:48:44.403,U,QuoteNo,SCC_31053,1347,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1347,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40678,2022-08-26,SCC_40678 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,1176.4,1117.58,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-30 17:48:59.367,U,QuoteNo,SCC_31054,1348,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1348,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40677,2022-08-26,SCC_40677 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,1300.52,1235.49,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-30 17:50:33.843,U,QuoteNo,SCC_31055,1349,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1349,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40676,2022-08-26,SCC_40676 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,722.76,686.62,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-30 17:50:57.873,U,QuoteNo,SCC_31056,1350,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1350,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40675,2022-08-26,SCC_40675 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,1601.88,1521.79,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-08-30 17:52:09.170,U,QuoteNo,SCC_31057,1351,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1351,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_40674,2022-08-26,SCC_40674 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,2512.95,2512.95,Balance Due,SCC_4891,SCC_4891,Castle Steel,2022-08-30 17:53:10.947,P,QuoteNo,SCC_31058,1352,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1352,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_40673,2022-08-26,SCC_40673 - 2022-08-26,FIELD WORK,NET 30,Nofield,0.0,0.0,1750.0,1662.5,Balance Due,SCC_4890,SCC_4890,Currier Construction,2022-08-30 17:53:35.373,U,QuoteNo,SCC_31059,1353,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1353,Silent-Aire USA Inc.,Silent-Aire,280 E. Germann Rd.,,Gilbert,AZ,85297,SCC_40672,2022-08-26,SCC_40672 - 2022-08-26,BLAST,NET 30,Nofield,0.0,0.0,1400.0,1400.0,Balance Due,SCC_5025,SCC_5025,Silent-Aire USA Inc.,2022-08-30 17:55:07.550,P,QuoteNo,SCC_31060,1354,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1354,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40671,2022-08-26,SCC_40671 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,6000.0,6000.0,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-08-30 17:55:24.337,P,QuoteNo,SCC_31061,1355,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1355,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_40670,2022-08-26,SCC_40670 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,900.0,855.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,2022-08-30 17:57:06.710,U,QuoteNo,SCC_31062,1356,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1356,Castle Steel,Castle Steel,3828 N 35th Ave,,Phoenix,AZ,85017,SCC_40669,2022-08-26,SCC_40669 - 2022-08-26,LIQUID,NET 30,Nofield,0.0,0.0,1442.76,1442.76,Balance Due,SCC_4891,SCC_4891,Castle Steel,2022-08-30 17:57:22.010,P,QuoteNo,SCC_31063,1357,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1357,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40668,2022-08-26,SCC_40668 - 2022-08-26,FIELD WORK,NET 45,Nofield,0.0,0.0,2200.0,2200.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2022-08-30 17:58:06.003,P,QuoteNo,SCC_31064,1358,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1358,Simflo Pump,Simflo Pump,754 E Maley St,,Willcox,AZ,85643,SCC_40693,2022-08-30,SCC_40693 - 2022-08-30,LIQUID,NET 30,Nofield,0.0,0.0,167.5,167.5,Balance Due,SCC_4962,SCC_4962,Simflo Pump,2022-09-06 16:03:22.170,P,QuoteNo,SCC_31065,1359,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-10
1359,Silent-Aire USA Inc.,Silent-Aire,280 E. Germann Rd.,,Gilbert,AZ,85297,SCC_40692,2022-09-02,SCC_40692 - 2022-09-02,BLAST,NET 30,Nofield,0.0,0.0,2400.0,2400.0,Balance Due,SCC_5025,SCC_5025,Silent-Aire USA Inc.,2022-09-06 16:03:48.087,P,QuoteNo,SCC_31066,1360,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1360,GrayWolf Industrial,Schuff Steel Management Co.,"4320 E. Presidio St.
Suite #111",,Mesa,AZ,85215,SCC_40691,2022-09-02,SCC_40691 - 2022-09-02,LIQUID,NET 30,Nofield,0.0,0.0,800.0,760.0,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,2022-09-06 16:04:07.160,U,QuoteNo,SCC_31067,1361,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1361,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40690,2022-09-02,SCC_40690 - 2022-09-02,FIELD WORK,NET 45,Nofield,0.0,0.0,2200.0,2200.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2022-09-06 16:04:35.257,P,QuoteNo,SCC_31068,1362,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1362,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40689,2022-09-02,SCC_40689 - 2022-09-02,LIQUID,NET 30,Nofield,0.0,0.0,5799.24,5509.28,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-09-06 16:04:39.550,U,QuoteNo,SCC_31069,1363,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1363,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40688,2022-09-02,SCC_40688 - 2022-09-02,LIQUID,NET 30,Nofield,0.0,0.0,5685.32,5401.05,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-09-06 16:04:59.440,U,QuoteNo,SCC_31070,1364,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1364,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40687,2022-09-02,SCC_40687 - 2022-09-02,LIQUID,NET 30,Nofield,0.0,0.0,2231.0,2231.0,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-09-06 16:05:16.693,P,QuoteNo,SCC_31071,1365,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1365,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40686,2022-09-02,SCC_40686 - 2022-09-02,LIQUID,NET 30,Nofield,0.0,0.0,1028.0,1028.0,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-09-06 16:05:37.147,P,QuoteNo,SCC_31072,1366,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1366,"Copperstate Construction Services, Inc.","Copperstate Construction Services, Inc.",1908 N. Rosemont,,Mesa,AZ,85205,SCC_40685,2022-09-02,SCC_40685 - 2022-09-02,LIQUID,NET 30,Nofield,0.0,0.0,1400.0,1400.0,Balance Due,SCC_4901,SCC_4901,"Copperstate Construction Services, Inc.",2022-09-06 16:05:55.767,P,QuoteNo,SCC_31073,1367,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1367,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40684,2022-09-02,SCC_40684 - 2022-09-02,LIQUID,NET 30,Nofield,0.0,0.0,1200.08,1200.08,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-09-06 16:06:25.267,P,QuoteNo,SCC_31074,1368,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1368,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40683,2022-09-02,SCC_40683 - 2022-09-02,LIQUID,NET 30,Nofield,0.0,0.0,4013.0,4013.0,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-09-06 16:06:59.623,P,QuoteNo,SCC_31075,1369,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1369,S & H Steel Co,S&H Steel,"620 W Commerce Ave, Gilbert AZ",,Gilbet,AZ,85233,SCC_40699,2022-09-09,SCC_40699 - 2022-09-09,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,14420.0,14420.0,Balance Due,SCC_5039,SCC_5039,S & H Steel Co,2022-09-12 12:04:00.597,P,QuoteNo,SCC_31076,1370,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1370,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40698,2022-09-09,SCC_40698 - 2022-09-09,FIELD WORK,NET 45,Nofield,0.0,0.0,2200.0,2200.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2022-09-12 13:05:14.853,P,QuoteNo,SCC_31077,1371,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1371,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40697,2022-09-09,SCC_40697 - 2022-09-09,LIQUID,NET 30,Nofield,0.0,0.0,1192.0,1192.0,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-09-12 13:05:19.913,P,QuoteNo,SCC_31078,1372,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1372,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40696,2022-09-09,SCC_40696 - 2022-09-09,LIQUID,NET 30,Nofield,0.0,0.0,5886.46,5592.14,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-09-12 13:05:44.887,U,QuoteNo,SCC_31079,1373,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1373,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40695,2022-09-09,SCC_40695 - 2022-09-09,LIQUID,NET 30,Nofield,0.0,0.0,5126.4,4870.08,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-09-12 13:06:00.747,U,QuoteNo,SCC_31080,1374,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1374,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40694,2022-09-09,SCC_40694 - 2022-09-09,LIQUID,NET 30,Nofield,0.0,0.0,5744.06,5456.86,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-09-12 13:06:14.727,U,QuoteNo,SCC_31081,1375,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1375,Simflo Pump,Simflo Pump,754 E Maley St,,Willcox,AZ,85643,SCC_40700,2022-09-16,SCC_40700 - 2022-09-16,LIQUID,NET 30,Nofield,0.0,0.0,335.0,335.0,Balance Due,SCC_4962,SCC_4962,Simflo Pump,2022-09-19 14:18:38.500,P,QuoteNo,SCC_31082,1376,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1376,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40701,2022-09-16,SCC_40701 - 2022-09-16,LIQUID,NET 30,Nofield,0.0,0.0,382.0,382.0,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-09-19 14:32:24.437,P,QuoteNo,SCC_31083,1377,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1377,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40702,2022-09-16,SCC_40702 - 2022-09-16,LIQUID,NET 30,Nofield,0.0,0.0,950.6,950.6,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-09-19 14:34:12.197,P,QuoteNo,SCC_31084,1378,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1378,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,,Mesa,AZ,85210,SCC_40703,2022-09-16,SCC_40703 - 2022-09-16,LIQUID,NET 30,Nofield,0.0,0.0,1396.96,1396.96,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,2022-09-19 14:34:30.233,P,QuoteNo,SCC_31085,1379,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1379,Alstate Steel,Alstate Steel,5343 Mohave Street,,Phoenix,AZ,85043,SCC_40704,2022-09-16,SCC_40704 - 2022-09-16,BLAST,NET 30,Nofield,0.0,0.0,2737.0,2737.0,Balance Due,SCC_4912,SCC_4912,Alstate Steel,2022-09-19 14:34:48.117,P,QuoteNo,SCC_31086,1380,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1380,Magnum Engineering Inc.,Magnum Companies,2439 S 49th Avenue,,Phoenix,AZ,85043,SCC_40705,2022-09-16,SCC_40705 - 2022-09-16,LIQUID,NET 30,Nofield,0.0,0.0,7800.0,7800.0,Balance Due,SCC_4949,SCC_4949,Magnum Engineering Inc.,2022-09-19 14:35:23.270,P,QuoteNo,SCC_31087,1381,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1381,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40706,2022-09-16,SCC_40706 - 2022-09-16,LIQUID,NET 30,Nofield,0.0,0.0,5281.26,5017.2,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-09-19 14:35:38.143,U,QuoteNo,SCC_31088,1382,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1382,Schuff Steel Company,Schuff Steel,"3003 N Central Ave
Suite1500",,Phoenix,AZ,85012,SCC_40707,2022-09-16,SCC_40707 - 2022-09-16,LIQUID,NET 30,Nofield,0.0,0.0,3882.18,,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,2022-09-19 14:35:56.647,U,QuoteNo,SCC_31089,1383,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
1383,Haydon Building Corp,Haydon Building Corp,4640 E Cotton Gin Loop,,Phoenix,AZ,85040,SCC_40708,2022-09-14,SCC_40708 - 2022-09-14,FIELD WORK,DUE ON RECEI,Nofield,0.0,0.0,5820.0,5529.0,Balance Due,SCC_4985,SCC_4985,Haydon Building Corp,2022-09-19 14:36:11.057,U,QuoteNo,SCC_31090,1384,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-27
1384,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,,Tempe,AZ,85282,SCC_40709,2022-09-16,SCC_40709 - 2022-09-16,FIELD WORK,NET 45,Nofield,0.0,0.0,2200.0,2200.0,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,2022-09-19 14:36:36.080,P,QuoteNo,SCC_31091,1385,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2023-02-15
