,CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,Name,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
43,Separation By Design,Separation By Design,"1601 Buchanan Road
",,Evansville,IN,47720,SCC_39458SC,2018-10-04,SCC_39458SC - 2018-10-04,STORAGE FEE,DUE ON RECEI,Nofield,0.0,0.0,1335.0,1335.0,Balance Due,SCC_4909,SCC_4909,Separation By Design,2018-10-04 15:59:56.307,P,QuoteNo,SCC_29719,44,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
44,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_39403,2018-10-02,SCC_39403 - 2018-10-02,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2499.0,2499.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,,P,QuoteNo,SCC_29720,45,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
45,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39404,2018-10-03,SCC_39404 - 2018-10-03,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,10390.7,10390.7,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29721,46,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
46,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN","1908 N. Rosemont
",,Mesa,AZ,85205,SCC_39405,2018-10-05,SCC_39405 - 2018-10-05,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2000.0,2000.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",,P,QuoteNo,SCC_29722,47,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
47,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39406,2018-08-24,SCC_39406 - 2018-08-24,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1769.56,1769.56,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29723,48,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
48,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39400,2018-09-28,SCC_39400 - 2018-09-28,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2510.0,2510.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29724,49,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
49,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39407,2018-10-08,SCC_39407 - 2018-10-08,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2500.0,2500.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29727,50,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
50,CAPITOL ENGINEERING CO,CAPITAL ENGINEERING CO,"742 E SOUTHERN PACIFIC DRIVE
",,Phoenix,AZ,85034,SCC_39410,2018-10-08,SCC_39410 - 2018-10-08,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,4790.0,4790.0,Balance Due,SCC_4900,SCC_4900,CAPITOL ENGINEERING CO,2018-10-12 09:44:16.530,P,QuoteNo,SCC_29728,51,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
51,Castle Steel,Castle Steel,"3828 N 35th Ave
",,Phoenix,AZ,85017,SCC_39411,2018-10-12,SCC_39411 - 2018-10-12,LIQUID,NET 30,Nofield,0.0,0.0,9400.0,9400.0,Balance Due,SCC_4891,SCC_4891,Castle Steel,,P,QuoteNo,SCC_29729,52,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
52,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN","1908 N. Rosemont
",,Mesa,AZ,85205,SCC_39412,2018-10-11,SCC_39412 - 2018-10-11,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2000.0,2000.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",,P,QuoteNo,SCC_29730,53,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
53,Schuff Steel,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_39409,2018-10-09,SCC_39409 - 2018-10-09,,DUE ON RECEI,Nofield,0.0,0.0,551.25,551.25,Balance Due,SCC_4907,SCC_4907,Schuff Steel,,P,QuoteNo,SCC_29731,54,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
54,OLT Fabrication,OLT Fabrication,"2301 West Broadway
",,Phoenix,AZ,85041,SCC_39413,2018-10-22,SCC_39413 - 2018-10-22,LIQUID,NET 30,Nofield,0.0,0.0,6425.5,6425.5,Balance Due,SCC_4897,SCC_4897,OLT Fabrication,,P,QuoteNo,SCC_29732,55,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
55,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39414,2018-10-19,SCC_39414 - 2018-10-19,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,640.0,640.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29733,56,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
56,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39415,2018-10-19,SCC_39415 - 2018-10-19,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,11520.0,11520.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29734,57,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
57,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39416,2018-10-15,SCC_39416 - 2018-10-15,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1400.0,1400.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29735,58,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
58,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39417,2018-10-17,SCC_39417 - 2018-10-17,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,6840.0,6840.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2018-10-23 11:47:04.407,P,QuoteNo,SCC_29736,59,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
