Error,,ItemNo,PartNo,Qty1,Price1,JobNo,JobNotes,QuoteNo,Status,Name,QuoteDet_ID,LookupValForOpp,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
INVALID_FIELD:Foreign key external ID: dcs_12602 not found for field E2_Quote_Key__c in entity Opportunity:--,11400,8,NPS 3 SCH 80,6.0,15.0,,,12419,EXP,Blast & Coat with Masking Flanges,DCS_11400,DCS_12419,DUMMY,11385,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12602 not found for field E2_Quote_Key__c in entity Opportunity:--,11401,11,134 3M,400.0,0.0,,,12419,EXP,3M 134 Fusion Bonded Epoxy.  65 Pound Box,DCS_11401,DCS_12419,DUMMY,11386,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12602 not found for field E2_Quote_Key__c in entity Opportunity:--,11402,1,FRONT BUMPER,1.0,140.0,,,12420,EXP,Blast & Coat,DCS_11402,DCS_12420,DUMMY,11387,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12609 not found for field E2_Quote_Key__c in entity Opportunity:--,11421,1,BUS SHELTER (STANDARD) 6'X13',1.0,1017.0,,,12425,EXP,"Blast, Primer and Coat",DCS_11421,DCS_12425,POWDER,11406,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12609 not found for field E2_Quote_Key__c in entity Opportunity:--,11422,2,BUS SHELTER (MID SIZE) 9'X6',1.0,635.0,,,12425,EXP,"Blast, Primer and Coat",DCS_11422,DCS_12425,POWDER,11407,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12609 not found for field E2_Quote_Key__c in entity Opportunity:--,11423,3,BUS SHELTER DOUBLE BENCH 13X6,1.0,1143.0,,,12425,EXP,"Blast, Primer and Coat",DCS_11423,DCS_12425,POWDER,11408,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12620 not found for field E2_Quote_Key__c in entity Opportunity:--,11487,2,DOUBLE CHAISE LG REFINISH,1.0,200.0,50658-02,,12440,WON,"Double Chaise Large Refinish - Blast, Powder Prime, and Standard Powder Top Coat",DCS_11487,DCS_12440,DUMMY,11472,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12620 not found for field E2_Quote_Key__c in entity Opportunity:--,11488,3,SINGLE CHAISE LG REFINISH,2.0,120.0,50658-03,,12440,WON,"Single Chaise Large Refinish - Blast, Powder Prime, and Standard Powder Top Coat",DCS_11488,DCS_12440,DUMMY,11473,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12629 not found for field E2_Quote_Key__c in entity Opportunity:--,Top coats are transparent colors. The color of the substrate under a top coat will affect the finished appearance. To simulate these colors, a silver metallic or ""chrome like"" base coat must be used. For the brightest finish use USS 4482 Super Chrome as a base coat.
INVALID_FIELD:Foreign key external ID: dcs_12629 not found for field E2_Quote_Key__c in entity Opportunity:--,",12448,WON,Prismatic Anodized Gold Item: PPB-2262,DCS_11527,DCS_12448,POWDER,11512,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12633 not found for field E2_Quote_Key__c in entity Opportunity:--,11538,2,COFFEE TABLE LG REFINISH,1.0,75.0,,,12450,EXP,"Coffee Table Large Refinish - Blast, Powder Prime, and Standard Powder Top Coat",DCS_11538,DCS_12450,DUMMY,11523,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12633 not found for field E2_Quote_Key__c in entity Opportunity:--,11539,3,DINING CHAIR LG REFINISH,6.0,65.0,,,12450,EXP,"Dining Chair Large Refinish - Blast, Powder Prime, and Standard Powder Top Coat",DCS_11539,DCS_12450,DUMMY,11524,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12633 not found for field E2_Quote_Key__c in entity Opportunity:--,11540,4,END TABLE REFINISH,2.0,50.0,,,12450,EXP,"End Table Refinish - Blast, Powder Prime, and Standard Powder Top Coat",DCS_11540,DCS_12450,DUMMY,11525,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
