Error,﻿CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWjIAN, current value is 001Dn00000PjIdXIAV:Account__c --,"Grayleaf Studio, LLC",GrayLeaf Studio,34240 S Old Black Canyon Hwy,NULL,Black Canyon City,AZ,85324,40441,12/31/2021,LIQUID,DUE ON RECEI,Nofield,0,0,38550,38550,Balance Due,SCC_5028,SCC_5028,"Grayleaf Studio, LLC",51:03.9,P,QuoteNo,30821
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjIU5IAN:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40448,1/7/2022,LIQUID,NET 30,Nofield,0,0,10123.52,10123.52,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,29:50.2,P,QuoteNo,30822
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjITrIAN:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40445,1/7/2022,LIQUID,NET 30,Nofield,0,0,19050.24,19050.24,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,30:34.4,P,QuoteNo,30823
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjJJUIA3:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40447,1/7/2022,FIELD WORK,NET 45,Nofield,0,0,2860,2860,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,30:58.6,P,QuoteNo,30824
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWjIAN, current value is 001Dn00000PjICDIA3:Account__c --,"Grayleaf Studio, LLC",GrayLeaf Studio,34240 S Old Black Canyon Hwy,NULL,Black Canyon City,AZ,85324,40446,1/7/2022,LIQUID,NET 30,Nofield,0,0,2450,2450,Balance Due,SCC_5028,SCC_5028,"Grayleaf Studio, LLC",31:22.7,P,QuoteNo,30825
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVGIA3, current value is 001Dn00000PjICDIA3:Account__c --,GrayWolf Industrial,Schuff Steel Management Co.,4320 E. Presidio St.  Suite #111,NULL,Mesa,AZ,85215,40444,1/7/2022,LIQUID,NET 30,Nofield,0,0,20000,20000,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,31:39.1,P,QuoteNo,30826
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICDIA3:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40425CR,1/14/2022,LIQUID,NET 30,Nofield,0,0,-5505.88,-5505.88,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),16:27.8,P,QuoteNo,30827
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjJJUIA3:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40452,1/14/2022,LIQUID,NET 30,Nofield,0,0,13347.84,13347.84,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,05:40.8,P,QuoteNo,30828
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjIRXIA3:Account__c --,Currier Construction,Currier,36N 56th st,NULL,Phoenix,AZ,85034,40451,1/14/2022,FIELD WORK,NET 30,Nofield,0,0,7230,7230,Balance Due,SCC_4890,SCC_4890,Currier Construction,06:17.7,P,QuoteNo,30829
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjIdXIAV:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40450,1/14/2022,LIQUID,NET 30,Nofield,0,0,13398.88,13398.88,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,06:38.9,P,QuoteNo,30830
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIKoIAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40449,1/14/2022,FIELD WORK,NET 45,Nofield,0,0,6930,6930,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,06:58.1,P,QuoteNo,30831
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjIKoIAN:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40454,1/21/2022,LIQUID,NET 30,Nofield,0,0,6800.64,6800.64,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,27:38.5,P,QuoteNo,30832
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUnIAN, current value is 001Dn00000PjIKoIAN:Account__c --,Capitol Engineering Co.,Capitol Engineering Co.,724 E Southern Pacific Dr,NULL,Phoenix,AZ,85035,40458,1/21/2022,LIQUID,NET 30,Nofield,0,0,975,975,Balance Due,SCC_4900,SCC_4900,Capitol Engineering Co.,32:07.8,P,QuoteNo,30833
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjICpIAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40457,1/21/2022,FIELD WORK,NET 45,Nofield,0,0,4345,4345,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,32:35.1,P,QuoteNo,30834
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJViIAN, current value is 001Dn00000PjICpIAN:Account__c --,Simflo Pump,Simflo Pump,754 E Maley St,NULL,Willcox,AZ,85643,40456,1/21/2022,LIQUID,NET 30,Nofield,0,0,2345,2345,Balance Due,SCC_4962,SCC_4962,Simflo Pump,32:53.2,P,QuoteNo,30835
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVpIAN, current value is 001Dn00000PjJO3IAN:Account__c --,S Diamond Steel,S Diamond Steel,4205 W. Lower Buckeye Rd,NULL,Phoenix,AZ,85009,40455,1/21/2022,LIQUID,NET 30,Nofield,0,0,36188.18,36188.18,Balance Due,SCC_4969,SCC_4969,S Diamond Steel,33:27.6,P,QuoteNo,30836
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjJJUIA3:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40453,1/21/2022,LIQUID,NET 30,Nofield,0,0,2567,2567,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),34:17.2,P,QuoteNo,30837
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIRhIAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40462,1/28/2022,FIELD WORK,NET 45,Nofield,0,0,4400,4400,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,55:52.0,P,QuoteNo,30838
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVsIAN, current value is 001Dn00000PjIieIAF:Account__c --,Keller Electrical Ind,Keller Electrical Ind,1881 East University Drive,NULL,Phoenix,AZ,85034,40463,1/27/2022,LIQUID,NET 30,Nofield,0,0,635,635,Balance Due,SCC_4973,SCC_4973,Keller Electrical Ind,57:12.4,P,QuoteNo,30839
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIbOIAV:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40461,1/28/2022,LIQUID,NET 30,Nofield,0,0,10000,10000,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),57:20.0,P,QuoteNo,30840
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVGIA3, current value is 001Dn00000PjI70IAF:Account__c --,GrayWolf Industrial,Schuff Steel Management Co.,4320 E. Presidio St.  Suite #111,NULL,Mesa,AZ,85215,40460,1/28/2022,LIQUID,NET 30,Nofield,0,0,11218.63,11218.63,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,57:41.3,P,QuoteNo,30841
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjIJrIAN:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40454CR,2/4/2022,LIQUID,NET 30,Nofield,0,0,-1372.8,-1372.8,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,31:59.6,P,QuoteNo,30842
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWhIAN, current value is 001Dn00000PjIkzIAF:Account__c --,Allied Machine Works,Allied Machine Works,1468 S. 1st Avenue,NULL,Thatcher,AZ,85552,40468,2/4/2022,LIQUID,DUE ON RECEI,Nofield,0,0,875,875,Balance Due,SCC_5026,SCC_5026,Allied Machine Works,38:53.1,P,QuoteNo,30843
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIJrIAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40467,2/4/2022,FIELD WORK,NET 45,Nofield,0,0,2200,2200,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,39:10.2,P,QuoteNo,30844
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUoIAN, current value is 001Dn00000PjIieIAF:Account__c --,"Copperstate Construction Services, Inc.","COPPER CONSTRUCTION SERVICE,IN",1908 N. Rosemont,NULL,Mesa,AZ,85205,40466,2/4/2022,LIQUID,NET 30,Nofield,0,0,5500,5500,Balance Due,SCC_4901,SCC_4901,"Copperstate Construction Services, Inc.",39:27.0,P,QuoteNo,30845
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjIf9IAF:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40465,2/4/2022,LIQUID,NET 30,Nofield,0,0,22716,22716,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,40:11.5,P,QuoteNo,30846
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIVnIAN:Account__c --,MMI Industrial & Steel,MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40464,2/4/2022,LIQUID,NET 30,Nofield,0,0,19603,19603,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,40:46.6,P,QuoteNo,30847
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIR2IAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40475,2/11/2022,FIELD WORK,NET 45,Nofield,0,0,2200,2200,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,14:57.7,P,QuoteNo,30848
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUxIAN, current value is 001Dn00000PjIR2IAN:Account__c --,Alstate Steel,Alstate Steel,5343 Mohave Street,NULL,Phoenix,AZ,85043,40474,2/11/2022,LIQUID,NET 30,Nofield,0,0,650,650,Balance Due,SCC_4912,SCC_4912,Alstate Steel,15:14.4,P,QuoteNo,30849
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjIKoIAN:Account__c --,Currier Construction,Currier Construction,36N 56th st,NULL,Phoenix,AZ,85034,40473,2/11/2022,FIELD WORK,NET 30,Nofield,0,0,4865,4865,Balance Due,SCC_4890,SCC_4890,Currier Construction,15:45.2,P,QuoteNo,30850
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIKoIAN:Account__c --,MMI Industrial & Steel,MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40472,2/11/2022,FIELD WORK,NET 30,Nofield,0,0,1540,1540,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,15:52.2,P,QuoteNo,30851
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIU3IAN:Account__c --,MMI Industrial & Steel,MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40471,2/11/2022,LIQUID,NET 30,Nofield,0,0,33339.05,33339.05,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,16:32.2,P,QuoteNo,30852
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVsIAN, current value is 001Dn00000PjIU3IAN:Account__c --,Keller Electrical Ind,Keller Electrical Ind,1881 East University Drive,NULL,Phoenix,AZ,85034,40470,2/11/2022,LIQUID,NET 30,Nofield,0,0,2000,2000,Balance Due,SCC_4973,SCC_4973,Keller Electrical Ind,16:52.6,P,QuoteNo,30853
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjIjUIAV:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40469,2/11/2022,LIQUID,NET 30,Nofield,0,0,14208,14208,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,17:11.0,P,QuoteNo,30854
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjIjUIAV:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40477,2/14/2022,LIQUID,NET 30,Nofield,0,0,16950,16950,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,05:46.3,P,QuoteNo,30855
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjHpUIAV:Account__c --,MMI Industrial & Steel,MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40476,2/14/2022,LIQUID,NET 30,Nofield,0,0,14638.2,14638.2,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,06:12.3,P,QuoteNo,30856
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjJOzIAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40480,2/18/2022,FIELD WORK,NET 45,Nofield,0,0,2290,2290,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,06:40.3,P,QuoteNo,30857
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVpIAN, current value is 001Dn00000PjIMNIA3:Account__c --,S Diamond Steel,S Diamond Steel,4205 W. Lower Buckeye Rd,NULL,Phoenix,AZ,85009,40479,2/14/2022,LIQUID,NET 30,Nofield,0,0,850,850,Balance Due,SCC_4969,SCC_4969,S Diamond Steel,06:46.3,P,QuoteNo,30858
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWhIAN, current value is 001Dn00000PjHeDIAV:Account__c --,Allied Machine Works,Allied Machine Works,1468 S. 1st Avenue,NULL,Thatcher,AZ,85552,40478,2/14/2022,LIQUID,DUE ON RECEI,Nofield,0,0,7707.52,7707.52,Balance Due,SCC_5026,SCC_5026,Allied Machine Works,07:12.3,P,QuoteNo,30859
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVpIAN, current value is 001Dn00000PjIRkIAN:Account__c --,S Diamond Steel,S Diamond Steel,4205 W. Lower Buckeye Rd,NULL,Phoenix,AZ,85009,40485,2/25/2022,LIQUID,NET 30,Nofield,0,0,850,850,Balance Due,SCC_4969,SCC_4969,S Diamond Steel,40:17.5,P,QuoteNo,30860
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjIttIAF:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40483,2/25/2022,LIQUID,NET 30,Nofield,0,0,17506,17506,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,40:40.1,P,QuoteNo,30861
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjJO3IAN:Account__c --,MMI Industrial & Steel,MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40484,2/25/2022,LIQUID,NET 30,Nofield,0,0,7555,7555,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,42:15.8,P,QuoteNo,30862
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUoIAN, current value is 001Dn00000PjJO3IAN:Account__c --,"Copperstate Construction Services, Inc.","COPPER CONSTRUCTION SERVICE,IN",1908 N. Rosemont,NULL,Mesa,AZ,85205,40482,2/25/2022,LIQUID,NET 30,Nofield,0,0,3900,3900,Balance Due,SCC_4901,SCC_4901,"Copperstate Construction Services, Inc.",43:21.5,P,QuoteNo,30863
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIkYIAV:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40481,2/25/2022,FIELD WORK,NET 45,Nofield,0,0,2200,2200,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,45:05.9,P,QuoteNo,30864
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIKcIAN:Account__c --,MMI Industrial & Steel,MILLING MACHINE (MMI),1042 S. Lewis,NULL,Mesa,AZ,85210,40486,3/2/2022,LIQUID,NET 30,Nofield,0,0,3660,3660,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,35:53.1,P,QuoteNo,30865
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVhIAN, current value is 001Dn00000PjI6yIAF:Account__c --,Rimex,Rimex,4415 W. Magnolia St.,NULL,Phoenix,AZ,85043,40492,3/4/2022,LIQUID,NET 30,Nofield,0,0,730,730,Balance Due,SCC_4961,SCC_4961,Rimex,38:42.0,P,QuoteNo,30866
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVsIAN, current value is 001Dn00000PjIKoIAN:Account__c --,Keller Electrical Ind,Keller Electrical Ind,1881 East University Drive,NULL,Phoenix,AZ,85034,40491,3/7/2022,LIQUID,NET 30,Nofield,0,0,750,750,Balance Due,SCC_4973,SCC_4973,Keller Electrical Ind,39:05.3,P,QuoteNo,30867
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUxIAN, current value is 001Dn00000PjIiOIAV:Account__c --,Alstate Steel,Alstate Steel,5343 Mohave Street,NULL,Phoenix,AZ,85043,40490,3/4/2022,BLAST,NET 30,Nofield,0,0,13160,13160,Balance Due,SCC_4912,SCC_4912,Alstate Steel,39:23.7,P,QuoteNo,30868
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWhIAN, current value is 001Dn00000PjICDIA3:Account__c --,Allied Machine Works,Allied Machine Works,1468 S. 1st Avenue,NULL,Thatcher,AZ,85552,40489,3/4/2022,LIQUID,DUE ON RECEI,Nofield,0,0,2964.36,2964.36,Balance Due,SCC_5026,SCC_5026,Allied Machine Works,39:43.5,P,QuoteNo,30869
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIf9IAF:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40488,3/4/2022,FIELD WORK,NET 45,Nofield,0,0,4400,4400,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,40:01.3,P,QuoteNo,30870
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjIL4IAN:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40487,3/4/2022,LIQUID,NET 30,Nofield,0,0,27948,27948,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,40:20.4,P,QuoteNo,30871
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVGIA3, current value is 001Dn00000PjIU5IAN:Account__c --,GrayWolf Industrial,Schuff Steel Management Co.,4320 E. Presidio St.  Suite #111,NULL,Mesa,AZ,85215,40493,3/4/2022,LIQUID,NET 30,Nofield,0,0,360,360,Balance Due,SCC_4932,SCC_4932,GrayWolf Industrial,10:05.2,P,QuoteNo,30873
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjIixIAF:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40497,3/11/2022,LIQUID,NET 30,Nofield,0,0,30328,30328,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,24:47.0,P,QuoteNo,30874
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWYIA3, current value is 001Dn00000PjIEdIAN:Account__c --,Hunter Contracting Co,Hunter,701 N Cooper RD,NULL,Gilbert,AZ,85233,40496,3/11/2022,FIELD WORK,DUE ON RECEI,Nofield,0,0,3245,2920.5,Balance Due,SCC_5015,SCC_5015,Hunter Contracting Co,25:02.2,U,QuoteNo,30875
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUxIAN, current value is 001Dn00000PjIYbIAN:Account__c --,Alstate Steel,Alstate Steel,5343 Mohave Street,NULL,Phoenix,AZ,85043,40495,3/11/2022,LIQUID,NET 30,Nofield,0,0,8960,8960,Balance Due,SCC_4912,SCC_4912,Alstate Steel,26:10.2,P,QuoteNo,30876
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIYbIAN:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40494,3/11/2022,FIELD WORK,NET 45,Nofield,0,0,4400,4400,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,26:22.2,P,QuoteNo,30877
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjHiqIAF:Account__c --,MMI Industrial & Steel,MMI Industrial & Steel,1042 S. Lewis,NULL,Mesa,AZ,85210,40504,3/18/2022,LIQUID,NET 30,Nofield,0,0,15032,15032,Balance Due,SCC_4898,SCC_4898,MMI Industrial & Steel,41:55.5,P,QuoteNo,30878
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJWYIA3, current value is 001Dn00000PjJNeIAN:Account__c --,Hunter Contracting Co,Hunter,701 N Cooper RD,NULL,Gilbert,AZ,85233,40503,3/18/2022,FIELD WORK,DUE ON RECEI,Nofield,0,0,4112,3700.8,Balance Due,SCC_5015,SCC_5015,Hunter Contracting Co,42:15.0,U,QuoteNo,30879
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjHiqIAF:Account__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,40502,3/18/2022,LIQUID,NET 30,Nofield,0,0,10645,10645,Balance Due,SCC_4907,SCC_4907,Schuff Steel Company,43:11.3,P,QuoteNo,30880
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVnIAN, current value is 001Dn00000PjIMNIA3:Account__c --,Schreiber Foods,Schreiber Foods,2122 S Hardy Drive,NULL,Tempe,AZ,85282,40501,3/18/2022,FIELD WORK,NET 45,Nofield,0,0,3960,3960,Balance Due,SCC_4967,SCC_4967,Schreiber Foods,51:04.3,P,QuoteNo,30881
